Player Name,MLS Club,Jersey Number,Position,Hometown: City,Hometown: State/Province,Hometown: Country,Age,Height (in.),Weight (lbs.)
Amro Tarek,New York Red Bulls,3,Defender,Asyut,,Egypt,28,"6' 3""",194
Andre Blake,Philadelphia Union,18,Goalkeeper,May Pen,,Jamaica,30,"6' 4""",175
Andre Rawls,Colorado Rapids,15,Goalkeeper,San Ramon,California,United States of America,28,"6' 2""",182
Andre Reynolds II,Chicago Fire FC,36,Defender,Chicago,Illinois,United States of America,19,"5' 9""",155
Andre Shinyashiki,Colorado Rapids,99,Forward,Sao Paulo,,Brazil,23,"5' 9""",150
Andres Flores,Portland Timbers,14,Midfielder,San Salvador,,El Salvador,30,"5' 6""",150
Andres Jasson,New York City FC,,Forward,Greenwich,Connecticut,United States of America,18,"5' 9""",155
Andres Perea,Orlando City SC,21,Midfielder,Medellin,,Colombia,20,"6' 0""",
Andres Reyes,Inter Miami CF,3,Defender,Puerto Tejada,,Colombia,21,"6' 0""",180
Andres Ricaurte,FC Dallas,10,Midfielder,Medellin,,Colombia,29,"5' 10""",154
Andres Rios,San Jose Earthquakes,25,Forward,Buenos Aires,,Argentina,31,"5' 10""",172
Andreu Fontas,Sporting Kansas City,3,Defender,Banyoles,,Spain,31,"6' 1""",190
Andrew Carleton,Atlanta United FC,30,Forward,Powder Springs,Georgia,United States of America,20,"5' 7""",145
Andrew Farrell,New England Revolution,2,Defender,Louisville,Kentucky,United States of America,28,"5' 11""",185
Andrew Gutman,FC Cincinnati,96,Defender,Hinsdale,Illinois,United States of America,24,"6' 0""",170
Andrew Putna,Real Salt Lake,51,Goalkeeper,Lemont,Illinois,United States of America,26,"6' 2""",180
Andrew Tarbell,Columbus Crew SC,13,Goalkeeper,Mandeville,Louisiana,United States of America,27,"6' 3""",194
Andrew Wooten,Philadelphia Union,7,Forward,Bamberg,,Germany,31,"6' 1""",187
Andy Najar,Los Angeles Football Club,24,Defender,Choluteca,,Honduras,27,"5' 7""",150
Andy Polo,Portland Timbers,7,Midfielder,Lima,,Peru,26,"5' 8""",155
Andy Rose,Vancouver Whitecaps FC,15,Midfielder,Bristol,,England,30,"6' 2""",175
Anibal Godoy,Nashville SC,20,Midfielder,Panama City,,Panama,30,"6' 0""",165
Anthony Fontana,Philadelphia Union,21,Midfielder,Newark,Delaware,United States of America,21,"5' 8""",150
Anthony Jackson-Hamel,Montreal Impact,11,Forward,Quebec City,Quebec,Canada,27,"6' 1""",180
Anton Tinnerholm,New York City FC,3,Defender,Linkoping,,Sweden,29,"5' 9""",150
Anton Walkes,Atlanta United FC,4,Defender,Lewisham,,England,23,"6' 2""",
Antonio Carlos,Orlando City SC,25,Defender,Rio de Janeiro,,Brazil,27,"6' 3""",
Antonio Mlinar Delamea,New England Revolution,19,Defender,Celje,,Slovenia,29,"6' 0""",160
Ariel Lassiter FC,Houston Dynamo,11,Forward,Temecula,California,United States of America,26,"5' 10""",155
Artur,Columbus Crew SC,8,Midfielder,Salvador,,Brazil,24,"5' 11""",154
Ashtone Morgan,Real Salt Lake,3,Defender,Toronto,Ontario,Canada,29,"5' 9""",156
Aurelien Collin,Philadelphia Union,78,Defender,Enghien-les-Bains,,France,34,"6' 2""",169
Auro,Toronto FC,96,Defender,Sao Paulo,,Brazil,24,"5' 6""",136
Auston Trusty,Colorado Rapids,5,Defender,Media,Pennsylvania,United States of America,22,"6' 3""",
Axel Sjöberg,D.C. United,44,Defender,Stockholm,,Sweden,29,"6' 7""",210
Ayo Akinola,Toronto FC,20,Forward,Brampton,Ontario,Canada,20,"5' 10""",182
Bakaye Dibassy,Minnesota United FC,,Defender,Paris,,France,31,"6' 0""",
Ballou Jean-Yves Tabla,Montreal Impact,17,Midfielder,Abidjan,,Ivory Coast,21,"5' 9""",154
Beckham Sunderland,FC Cincinnati,30,Goalkeeper,Cincinnati,Ohio,United States of America,17,"6' 1""",170
Ben Lundt,FC Cincinnati,39,Goalkeeper,Berlin,,Germany,25,"6' 6""",220
Ben Mines,New York Red Bulls,17,Midfielder,Ridgefield,Connecticut,United States of America,20,"5' 9""",140
Ben Sweat,Inter Miami CF,22,Defender,Palm Harbor,Florida,United States of America,29,"6' 2""",175
Benji Michel,Orlando City SC,19,Forward,Orlando,Florida,United States of America,23,"5' 10""",165
Bill Hamid,D.C. United,24,Goalkeeper,Annandale,Virginia,United States of America,30,"6' 3""",225
Bill Tuiloma,Portland Timbers,25,Defender,Otahuhu,,New Zealand,25,"5' 10""",175
Blaise Matuidi,Inter Miami CF,8,Midfielder,Toulouse,,France,33,"5' 9""",163
Blake Bodily,Portland Timbers,98,Midfielder,Eagle,Idaho,United States of America,22,"5' 9""",150
Bobby Shuttleworth,Chicago Fire FC,1,Goalkeeper,Tonawanda,New York,United States of America,33,"6' 2""",205
Bojan Krkic,Montreal Impact,9,Midfielder,Linyola,,Spain,30,"5' 7""",150
Boniek Garcia FC,Houston Dynamo,27,Midfielder,Tegucigalpa,,Honduras,36,"5' 9""",150
Boris Sekulic,Chicago Fire FC,2,Defender,Belgrade,,DFR Yugoslavia,29,"6' 2""",161
Brad Guzan,Atlanta United FC,1,Goalkeeper,Evergreen Park,Illinois,United States of America,36,"6' 4""",209
Brad Knighton,New England Revolution,18,Goalkeeper,Richmond,Virginia,United States of America,35,"6' 2""",180
Brad Smith,Seattle Sounders FC,2,Defender,Penrith,,Australia,26,"5' 10""",155
Brad Stuver,New York City FC,41,Goalkeeper,Twinsburg,Ohio,United States of America,29,"6' 3""",180
Bradley Wright-Phillips,Los Angeles Football Club,66,Forward,Lewisham,,England,35,"5' 8""",155
Brady Scott,Nashville SC,31,Goalkeeper,Petaluma,California,United States of America,21,"6' 2""",172
Braian Galvan,Colorado Rapids,52,Midfielder,San Miguel de Tucum�n,,Argentina,20,"5' 5""",141
Brandon Bye,New England Revolution,15,Defender,Portage,Michigan,United States of America,24,"6' 0""",185
Brandon Servania,FC Dallas,18,Midfielder,Dallas,Texas,United States of America,21,"5' 10""",160
Brandon Vazquez,FC Cincinnati,19,Forward,Chula Vista,California,United States of America,22,"6' 3""",175
Brandt Bronico,Chicago Fire FC,13,Midfielder,Westminster,Maryland,United States of America,25,"5' 8""",155
Brayan Beckeles,Nashville SC,55,Defender,La Ceiba,,Honduras,34,"6' 1""",176
Brek Shea,Inter Miami CF,28,Midfielder/Defender,College Station,Texas,United States of America,30,"6' 3""",180
Brendan Moore,Atlanta United FC,13,Goalkeeper,Roswell,Georgia,United States of America,28,"6' 3""",
