BOYS UNDER 16,2005,Arsenal FC,CA-S,California
BOYS UNDER 16,2006,Baltimore Casa Mia Bays,MD,Maryland
BOYS UNDER 16,2007,Real So Cal,CA-S,California
BOYS UNDER 16,2008,Dallas Texans 92 Red,N-TX,Texas
BOYS UNDER 16,2009,Dallas Texans 93 Red,N-TX,Texas
BOYS UNDER 16,2010,Slammers FC,CA-S,California
BOYS UNDER 16,2011,Concorde Fire Elite,GA,Georgia
BOYS UNDER 16,2012,Michigan Jaguars 96 Green,MI,Michigan
BOYS UNDER 16,2013,Smithtown Arsenal,E-NY,New York
BOYS UNDER 16,2014,Baltimore Celtic 97/98,MD,Maryland
BOYS UNDER 16,2015,Baltimore Celtic,MD,Maryland
BOYS UNDER 16,2016,Loudoun Red,VA,Virginia
BOYS UNDER 16,2017,Tampa Bay United,FL,Florida
BOYS UNDER 16,2018,Arlington SA 2002 Red,VA,Virginia
BOYS UNDER 16,2019,LVSA 03 Silver,NV,Nevada
GIRLS UNDER 16,1985,Black Watch Heather,FL,Florida
GIRLS UNDER 16,1986,Mission Viejo Soccerettes,CA-S,California
GIRLS UNDER 16,1987,Sachem Tomahawks,E-NY,New York
GIRLS UNDER 16,1988,Springfield Spirit,VA,Virginia
GIRLS UNDER 16,1989,Fairfax Police Youth Express,VA,Virginia
GIRLS UNDER 16,1990,Willingboro Strikers,NJ,New Jersey
GIRLS UNDER 16,1991,Mission Viejo Herricanes,CA-S,California
GIRLS UNDER 16,1992,Burnsville Giants,MN,Minnesota
GIRLS UNDER 16,1993,J.B. Marine,MO,Missouri
GIRLS UNDER 16,1994,78 Roadrunners,CA-N,California
GIRLS UNDER 16,1995,Dallas Sting,N-TX,Texas
GIRLS UNDER 16,1996,Central Valley Mercury,CA-N,California
GIRLS UNDER 16,1997,Northport/Cow Harbor Piranha,E-NY,New York
GIRLS UNDER 16,1998,Weston Wild Thing,CT,Connecticut
GIRLS UNDER 16,1999,Windsor World Class,CT,Connecticut
GIRLS UNDER 16,2000,South California Blues,CA-S,California
GIRLS UNDER 16,2001,GSA '85 Phoenix Red,GA,Georgia
GIRLS UNDER 16,2002,West Valley Samba,CA-S,California
GIRLS UNDER 16,2003,San Diego Surf,CA-S,California
GIRLS UNDER 16,2004,Eclipse Select,IL,Illinois
GIRLS UNDER 16,2005,Slammers SC,CA-S,California
GIRLS UNDER 16,2006,Real Colorado National,CO,Colorado
GIRLS UNDER 16,2007,McLean Freedom,VA,Virginia
GIRLS UNDER 16,2008,Dallas Texans Red 92,N-TX,Texas
GIRLS UNDER 16,2009,De Anza Force,CA-N,California
GIRLS UNDER 16,2010,Solar Red,N-TX,Texas
GIRLS UNDER 16,2011,Sting 95,N-TX,Texas
GIRLS UNDER 16,2012,BRYC 95 Elite,VA,Virginia
GIRLS UNDER 16,2013,DMCV Sharks Elite,CA-S,California
GIRLS UNDER 16,2014,Beach FC 97 Academy,CA-S,California
GIRLS UNDER 16,2015,JFC Storm 98/99,FL,Florida
GIRLS UNDER 16,2016,Carlsbad Elite 99,CA-S,California
